identificacion,nombre_cientifico,reino,filo,clase,orden,familia,genero,epiteto_especifico,estado_taxonomico,estado_de_amenaza,coordenadas
2669113,Sphagnum squarrosum,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,squarrosum,Aceptado,VU,[]
2668976,Sphagnum sumapazense,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,sumapazense,Aceptado,VU,"[(5.033333, -74.0), (5.033333, -74.0), (5.033333, -74.0)]"
8352582,Neesioscyphus allionii,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Balantiopsidaceae,Neesioscyphus,allionii,Aceptado,CR,"[(5.3, -75.916667)]"
2689318,Ruizanthus venezuelanus,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Balantiopsidaceae,Ruizanthus,venezuelanus,Aceptado,VU,"[(8.583333, -71.083333), (8.566667, -71.083333), (8.55, -71.083333), (10.833333, -73.666667), (8.516667, -71.05), (4.72861, -73.8267), (4.728611, -73.826667)]"
5286346,Nowellia curvifolia,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Nowellia,curvifolia,Aceptado,EN,[]
2688993,Cephaloziella divaricata,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziellaceae,Cephaloziella,divaricata,Aceptado,CR,[]
2688977,Cephaloziopsis intertexta,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziellaceae,Cephaloziopsis,intertexta,Aceptado,EN,"[(4.84611, -73.2706), (4.84611, -73.2706), (4.85, -73.25), (4.84944, -73.2814), (4.849444, -73.281389), (4.833333, -73.266667), (11.100278, -74.040278), (11.1, -74.033333)]"
7962907,Bazzania denticulifera,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Bazzania,denticulifera,Aceptado,CR,"[(5.5, -76.53), (5.5, -76.53)]"
9328510,Micropterygium longicellulatum,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Micropterygium,longicellulatum,Aceptado,VU,"[(4.916667, -76.25), (4.816667, -76.433333), (4.767519, -76.501186), (4.916667, -76.25)]"
2689351,Chaetocolea palmata,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Pseudolepicoleaceae,Chaetocolea,palmata,Aceptado,VU,[]
7747197,Temnoma chaetophyllum,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Pseudolepicoleaceae,Temnoma,chaetophyllum,Aceptado,CR,"[(6.0, -72.583333)]"
8224821,Metzgeria lechleri,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae,Metzgeria,lechleri,Aceptado,EN,"[(5.414644, -73.543561), (5.414644, -73.543561), (5.693767, -72.802217), (5.693767, -72.802217), (4.9, -75.116667), (5.983333, -73.083333)]"
2688803,Blepharolejeunea saccata,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Blepharolejeunea,saccata,Aceptado,CR,"[(6.3, -75.15)]"
7778648,Ceratolejeunea globulifera,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Ceratolejeunea,globulifera,Aceptado,EN,[]
9339809,Cheilolejeunea aurifera,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Cheilolejeunea,aurifera,Aceptado,VU,"[(6.416667, -72.3), (8.766667, -70.8), (4.098056, -74.249722)]"
